name,categories,city,province,country,latitude,longitude,postalCode,address
Wendy's,Fast Food Restaurant,Lithonia,GA,US,33.699522,-84.17274,30038,3015 Panola Rd
Burger King,Fast food restaurants,Danvers,MA,US,42.547923,-70.942014,1923,184 Endicott St
Boston Road Pizza,Fast Food Restaurants,Springfield,MA,US,42.140526,-72.50087,1119,1291 Boston Rd
McDonald's,Fast Food Restaurant,Ravenna,OH,US,41.157059,-81.219054,44266,6134 State Route 14
Boston Market,Fast Food Restaurant,Arlington,TX,US,32.679467,-97.195027,76016,4402 Little Rd
D'Angelo Grilled Sandwiches,Fast Food Restaurants,Attleboro,MA,US,41.92023235,-71.35787658,2703,15 Highland Ave
Burger King,Fast Food,El Cajon,CA,US,32.739923,-116.942156,92019,2992 Jamacha Rd
Boston Market,Fast Food Restaurants,El Cajon,CA,US,32.80827,-116.97137,92020,706 Fletcher Pkwy
Burger King,Fast food restaurants,El Cajon,CA,US,32.805945,-116.971542,92020,822 N Johnson Ave
Nino's Pizzarama,Fast Food Restaurants,Willow Grove,PA,US,40.170877,-75.127393,19090,2819 Easton Rd
Carl's Jr,Fast Food Restaurant,Fontana,CA,US,34.091528,-117.43637,92335,8924 Sierra Ave
Carl's Jr,Fast Food,Encino,CA,US,34.16469,-118.52474,91316,18025 Ventura Blvd
Burger King,Fast food restaurants,Encinitas,CA,US,33.051949,-117.260994,92024,242 N El Camino Real
Carl's Jr,Fast Food Restaurant,Downey,CA,US,33.93527552,-118.1238946,90241,9002 Firestone Blvd
Carl's Jr,Fast Food Restaurants,Downey,CA,US,33.91684597,-118.1337577,90242,9110 Imperial Hwy
Filippi's Pizza Grotto,Fast Food Restaurants,San Diego,CA,US,32.797188,-117.2525,92109,962 Garnet Ave
Burger King,Fast food restaurants,Cypress,TX,US,29.88081,-95.683922,77433,7011 Barker Cypress Rd
Boston Market,Fast Food Restaurant,Pleasant Hill,CA,US,37.946879,-122.060174,94523,2180 Contra Costa Blvd
Jack in the Box,Fast Food,Castro Valley,CA,US,37.695437,-122.081735,94546,3035 Castro Valley Blvd
Round Table Pizza,Fast Food,San Jose,CA,US,37.315904,-121.977843,95129,4302 Moorpark Ave
El Pollo Loco,Fast Food Restaurants,Compton,CA,US,33.894566,-118.220228,90220,1751 S Alameda St
Arby's,Fast Food Restaurant,Chula Vista,CA,US,32.646857,-116.967527,91915,2244 Otay Lakes Rd
Burger King,Fast food restaurants,Chico,CA,US,39.76117,-121.842187,95926,962 East Ave
In-N-Out Burger,Fast Food Restaurants,Arroyo Grande,CA,US,35.1273,-120.598,93420,1170 W Branch St
Copper Oven Artisan Pizza,Fast Food Restaurants,Palm Desert,CA,US,33.72118,-116.38791,92260,73196 Highway 111
Carl's Jr,Fast Food Restaurant,Canoga Park,CA,US,34.218957,-118.58903,91304,20900 Roscoe Blvd
McDonald's,Fast Food Restaurant,Capitola,CA,US,36.975287,-121.963929,95010,1760 41st Ave
Carl's Jr,Fast Food Restaurant,Camarillo,CA,US,34.221478,-119.070243,93010,401 Las Posas Rd
Del Taco,"Fast Food Restaurant, Mexican Restaurant, and Taco Place",Barstow,CA,US,34.867566,-117.114747,92311,2871 Lenwood Rd
Del Taco,Fast Food Restaurant,Baldwin Park,CA,US,34.077713,-117.996169,91706,12690 Ramona Blvd
Little Caesars Pizza,Fast Food,La Puente,CA,US,34.0422696,-117.9493495,91744,1210 N Hacienda Blvd
McDonald's,Fast Food Restaurant,Bishop,CA,US,37.365314,-118.39508,93514,562 N Main St
McDonald's,Fast Food Restaurants,Americus,GA,US,32.07128,-84.216974,31709,1310 E Lamar St
Burger King,Fast Food Restaurant,Anderson,SC,US,34.54701,-82.6319,29621,2009 E Greenville St
Carl's Jr,Fast Food Restaurant,Alhambra,CA,US,34.088183,-118.151437,91803,2521 W Commonwealth Ave
Sbarro,Fast Food Restaurants,Augusta,GA,US,33.46734,-82.07989,30909,3450 Wrightsboro Rd Ste 2340
Casey's General Store,Fast Food,Neoga,IL,US,39.321895,-88.451273,62447,810 Oak Ave
Casey's General Store,Fast Food,Newton,IL,US,38.983809,-88.161001,62448,701 S Van Buren St
Chipotle Mexican Grill,Fast Food Restaurants,Chatsworth,CA,US,34.23765,-118.58919,91311,9175 De Soto Ave
McDonald's,Fast Food Restaurants,Cedartown,GA,US,34.017911,-85.253614,30125,328 N Main St
Burger King,Fast food restaurants,Glastonbury,CT,US,41.726353,-72.617608,6033,3025 Main St
Boston Market,"American Restaurant, Sandwich Place, and Fast Food Restaurant",Glastonbury,CT,US,41.720514,-72.614164,6033,2834 Main St
McDonald's,Fast Food Restaurant,Campbellsville,KY,US,37.346447,-85.337368,42718,605 E Broadway St
SUBWAY,Fast Food Restaurant,Campbellsville,KY,US,37.357213,-85.323654,42718,1602 E Broadway St
Burger King,Fast food restaurants,Fairfield,CA,US,38.259527,-122.062146,94534,1475 Holiday Ln
Fat Patty's,Fast Food Restaurants,Ashland,KY,US,38.4791,-82.6411,41101,1442 Winchester Ave
Dairy Queen,Fast Food Restaurants,Ashland,KY,US,38.3887,-82.7156,41102,12759 Us Route 60
Pizza Hut,Fast Food Restaurants,Fort Pierce,FL,US,27.4357,-80.326,34950,1439 S US Highway 1
Arby's,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Brooksville,FL,US,28.534187,-82.516103,34613,12915 Cortez Blvd
McDonald's,Fast Food Restaurant,Hobe Sound,FL,US,27.06168,-80.13746,33455,11671 Se Federal Hwy
Culver's,Burger Joint and Fast Food Restaurant Gulf Breeze,Navarre,FL,US,30.403772,-86.85506,32566,8792 Navarre Pkwy
Burger King,Fast food restaurants,Hialeah,FL,US,25.867613,-80.266376,33013,825 E 49th St
Pizza Hut,Fast Food,Hialeah,FL,US,25.882938,-80.33868,33016,2750 W 68th St Ste 104
Dairy Queen,Fast Food,Haines City,FL,US,28.125757,-81.64043,33844,36172 Hwy 27
Pizza Hut,Fast Food Restaurants,Saint Augustine,FL,US,29.96174,-81.49109,32092,52 Tuscan Way Ste 208
KFC,Fast Food Restaurant,Deltona,FL,US,28.8829,-81.2413,32725,1232 Providence Blvd
McDonald's,Fast food restaurants,DeFuniak Springs,FL,US,30.68782,-86.12318,32435,2370 US Highway 331 S
SONIC Drive-In,Fast Food Restaurant,DeFuniak Springs,FL,US,30.70032,-86.12317,32435,1508 US Highway 331 S
Whataburger,Fast Food Restaurants,DeFuniak Springs,FL,US,30.68693,-86.12329,32435,2434 US Highway 331 S
Arby's,"Fast Food Restaurant, Sandwich Place, and American Restaurant",Estero,FL,US,26.432003,-81.789408,33928,9975 Corkscrew Rd
Chick-Fil-A,Fast Food Restaurants,Brandon,FL,US,27.928097,-82.324836,33511,519 Brandon Town Center Mall
Taco Bell,Fast Food Restaurant,Belle Glade,FL,US,26.67511,-80.67,33430,865 S Main St
McDonald's,Fast Food Restaurant,Avon Park,FL,US,27.596742,-81.494029,33825,339 US Highway 27 S
Pizza Hut,Fast Food Restaurants,Wauchula,FL,US,27.56904,-81.81521,33873,1498 US Highway 17 N
Firehouse Subs,Fast Food,Apopka,FL,US,28.68587218,-81.53919026,32712,1608 W Orange Blossom Trl
Burger King,Fast Food Restaurant,Savannah,GA,US,32.135603,-81.208243,31408,460 Airways Ave
SONIC Drive-In,Fast Food Restaurant,Arkansas City,KS,US,37.08012,-97.03938,67005,1510 N Summit St
McDonald's,Fast Food Restaurants,Dodge City,KS,US,37.77885,-100.01663,67801,2613 Central Ave
Burger King,Fast Food Restaurants,Ankeny,IA,US,41.704627,-93.580975,50021,2501 Se Delaware Ave
Cupie's Drive-In,Fast Food Restaurants,Kahului,HI,US,20.8874,-156.4698,96732,134 W Kamehameha Ave
Chick-Fil-A,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Ames,IA,US,42.02045,-93.60967,50010,230 S Duff Ave
Burger King,Fast Food Restaurants,Ames,IA,US,42.03511,-93.57344,50010,2817 E 13th St
